Text	Emotion
 There are tons of other paintings that I think are better . 	3
Yet the dog had grown old and less capable , and one day the gillie had come and explained with great sorrow that the dog had suffered a stroke , and must be put down . 	4
When I get into the tube or the train without paying for the ticket.	1
This last may be a source of considerable disquiet and one might not at first see how such obviously ` immoral " content could be defended as part of a system of morality . 	1
She disliked the intimacy he showed towards some of them , was resentful of the memories they shared of which she was not a part , and felt excluded . 	0
When my family heard that my Mother's cousin who lives in England wrote us to tell that he had cancer of the lymph glands.	4
Finding out I am chosen to collect norms for Chinese aphasia (I will contribute to China's catching up with the West in neuropsychology).	2
A spokesperson said : ` Glen is furious that the new ` Anarchy " promo features footage of Sid Vicious as well as himself . 	0
 Yes . 	3
When I see people with burns I feel sad, actually I can not even express my feelings as I think that they must suffer a lot.	4
I had gone to the hospital for my research and got late in reaching home.  I feared that when I reached home there would be a quarrel because of my being late.	1
One day I heard from a friend that the boy I loved had gone out with her and not with me.	4
Connor 's voice was gleeful . 	2
 Very funny . What's wrong with you today ? You are my secretary and you are not supposed to talk to me in that tone of voice . Do you know that ? 	0
 Perhaps we need to have more babies ! Tina gave birth to a baby boy yesterday . 	3
 Why ? 	3
` I am very happy with the way I am playing but I accept that he believes he should be England 's fly-half . 	2
When I have to leave the baby in the carriage and go shopping, I fear that something will happen to the baby.	1
 No , you used to be . But not now . You are in love with someone else . You are in love with my friend , Janet . You appreciate her very much . You think she is beautiful and fun to be with and you think I ’ m dumb and uninteresting . 	0
 Wow ! Why so much ? I thought they were getting you an assistant . 	0
   Infiltration in our lives. The illusion of so we accept their political Solutions. #Tyranny	1
Spontaneous picnic with sister and friend and children - great.	2
Upon moving away from home for the first time to a different city, I felt no longer \under the wing\" of my parents even though they would always be there to help me. I felt a sense of loss, I was now all alone in the world, responsible for my own actions."	4
 Over there . 	3
When I learnt that I had failed an exam,  This not only influenced my emotions but also other important tasks, it also made my record imperfect.	4
 Me , too , I can ’ t stop scratching . They are everywhere ! Sneaky little jerks . 	3
Good morning , Mary ! 	2
A few months ago when I was teaching, I suddenly became very angry at the children and slapped some of them.	0
 Why ? 	3
When my sister lost my favourite jumper at a party and failed to tell me for several days after it happened.	0
My little cat which I had raised all by myself, hanged itself when playing in the garden.	4
Stock investors were not miffed by the frantic currency markets .	0
` After he got back I felt like I was in a black hole , " groaned a disconsolate Wilkinson after his two hour defeat . 	4
 Say hi to your family for me . 	2
When biking and I felt very bad (problems with heart and respiration).	1
Whenever I am alone in a dark room, walk alone on the street, sleep alone in the room at night or see something which is only partly visible.  This emotion was very strong when as an 8 year   old child I saw something horrible.  	1
When India lost the Benson and Hedges cricket trophy.	4
When I got in jungle where there was a great number of snakes.	1
At a party, on New Year's Eve, I met on old friend whom I had not seen for some time	2
When I failed the M.S.C exams.	0
When I saw a person I had not seen for a long time.	2
When I look at people around and know that people who are stupid look stupid.	2
A case of unrequited love.	4
Once in my work it happened a fight between the person in charge and me. I got so angry and spoke out everything I felt at the moment.	0
The death of my father, even though we had not been very close to each other.	4
When I was admitted to the University.	2
I saw him return this morning , so pleased with himself . " 	2
When I missed the tram after having run for it.	0
As Joe and Biddy became a little more cheerful , discussing my possible plans for the future , I became more miserable . 	4
When I was involved in a car accident last November, after the first fall of snow.  I lost control of the car and it spun round and landed on the opposite side of the road, on the hard shoulder.  It was stopped by a pole on top of a bank sloping down to a stream.	1
 Why ? 	3
The more resentful and unforgiving Willie Morgan , was taken to court and then had to terminate a lucrative six year contract after only nine months . 	0
That may not , however , be enough for the offended partner . 	0
Saw a classmate knocked down by a motorcycle.	1
 Make it 4 	3
If someone mentions things like ration books , powdered egg , air raids and so on , my stomach turns over and I feel quite depressed . 	4
This feeling occurred to me when my colleague entered in G.V. (University) and I didn't.	0
Achieving my goal at a swim meet. I worked toward the goal for 9 yrs. I was capable of achieving it, but I didn't know when.	2
If she had been paying more attention to his face she might have believed that his deeply shocked , anguished expression was not an act , put on for her benefit . 	4
After a difficult exam. When I had not hoped to take it and had got a high mark. When you present someone with something and he feels glad.	2
 Just look ! In six short weeks I've put on 30 pounds of pure muscle . 	0
Finding out about the university does not have enough foreign currency to buy the yournals in your reference list.	4
My sister had a daughter. I saw the baby for the first time through a pane of glass and she looked at me.	2
 It deserves . That film can give us a lot of inspiration . 	2
So my @OfficialPWG pic flood will start in 5 minutes. If you don't like wrestling or a fan of my photography,  you were warned	1
 I don ’ t understand how you can have any sympathy for show biz stars . They ’ re overpaid , over-ambitious , and over-adored . 	0
 Jim ! 	3
I was with my girlfriend when some guys that I don't like made fuss at my girl.	0
 So easy . 	3
He also said , to the delight of those Nonconformists who read his memoirs , that Watson 's tour was far more successful than Matthew Arnold 's . 	2
 Exactly . 	3
 It must be locked . 	3
 How do you do , Ms . Yang.You speak very good English . 	2
I was walking along the passage to my room (very near the anatomy laboratory) and I heard something and felt that there was some thing behind me.  I looked back and there was no one.  I started imagining that maybe it was a corpse.	1
I faced this feeling when I realized I wasn't admitted to the institute in the first classifying, in spite of the high mark I had got at the entrance examination. 	0
 Don't be so irritable . I just don't understand the program , that's all . 	3
Sorry I don't live in and I don't need NO MAN as a LEADER (I AM ROYALTY) A KING ALREADY (SELAH)	1
 Of course . 	3
When I met an elephant in the bush.	1
 I can try , but knowing Margaret she will see through that immediately . 	3
I had to unscrew something on my car. I didn't succeed after two afternoons of trying. A feeling of anger built up itself.	0
I was very sad when I was shouted at by Uncle and was told that I was not to be given school fees because I didn't go to work in the garden since I had gone to escort my sister to the bus depot.	4
 I'll tell you all about it next Monday . 	2
I was on my way home when suddenly Gule Wamkulu came from the bush and blocked the road. I was in fear and didn't know what to do.	1
When one of my best friends commited siucide during these holidays.	4
 Next week . 	3
 The tall one ? Sure , that's Drive , he works with Lily . 	3
My partner without discussing with me the situation decided it was time for us to have a break and went ahead and arranged his own life for the next 6-12 months, then told me the day before it was about to happen having been tolerant and friendly for the preceding week.	0
Doctor , I slipped and fell on my way to school . The ground is so slippery from the snow . It seems I can't move my left arm now . 	4
When my brother was born.	2
 What is it ? 	3
The celebration of sexuality found in the works of Sidur , Neizvestny and others , stemmed partly from the mischievous delight in taunting society 's taboos . 	2
 a bit ? I'm extremely annoyed that he didn't phone me when he promised me that he would ! He's such a liar . 	0
 Fantastic ! I didn't want to come back . 	2
Inevitably some become despondent , fearing they will never work again . 	4
 I don't know . I saw him the first time Tuesday . He was at the cafe . I noticed he was looking at me a lot . Not just the usual looking , but staring. He just kept staring at me . He didn't stop . 	1
 I want my money back for the delivery . 	0
I get angry when someone imputes on me things I never can do, naturally negative. Servility, \connections\", impudence, traits that get me mad."	0
I recall thinking that I had to be home soon or Mother would be angry at me for missing supper . 	0
When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died.  I could not  understand how normal people could behave in such a way.	0
Playing NOW on Hardest: BYZPO Radio Show Session #17. Tune in, listen and enjoy.	1
When my term paper was evaluated.	2
When I was told that my friend's wife had cancer.	4
When our dog died.	4
` It is a long time since anyone cared for you as tonight you cared for Ana , is it not ? " he asked softly , his hand coming to tilt her downcast face . 	4
A party with friends on New Year's Eve.	2
 I think I will . Thanks for the info . 	2
When we got lost in Florence and the coach did not turn up until midnight.  I had no place to go to and there were strange reports at the police station.	1
When a person is privileged in account of situations that are unjust, and disloyal to colleagues and friends.	0
A few weeks back my daughter had very high fever and I was scared that it might lead to brain damage or convulsions.	1
I was selected to do a rest for a foreign ballet but I did not have the money to do it.	4
Then she remembered his horror when he 'd said , ` Don't tell me you 're a virgin ! " and her heart closed in on itself like a wounded animal . 	1
 What do you expect ? I've been working for you for three years , and you've never given me a holiday . I don't feel well today , because I have a terrible headache . I am not in the mood for being gentle and polite . If you can't stand it , it's your problem . I am not going to change , because I think it suits you best . 	0
 About what ? 	3
When my boyfriend was changing his behavior there was something wrong, I felt sad, because it's desagreable when a relationship is ending.	4
I am fed up with Jack . He is so weak in dealing with other people and always eats dirt . 	0
 That ’ s a little troublesome . 	4
But I don't want an indignant boyfriend on my doorstep breathing fire . " 	0
 Definitely . 	3
When I heard that my friend had started drinking beer.	4
My father was away from home and he did not come back when he was expected, he came back several hours later than expected.	1
 How do you know whether you should hit the solid or the striped one ? 	3
I wanted to go to a friend of mine who had a party; at the moment I wanted to leave, my father said I couldn't go because he needed me for some work in the afternoon.	0
Strictly avoid frightening ideas 	1
Riding home from school after completing two midterms in two days, and feeling I did well on them.	2
` Because she still sounded mad at me , and I thought you might try to dissuade me . 	0
not afraid of tomorrow, for I have seen yesterday and I love today #less”	1
I felt afraid just before receiving the question paper of the part II exam.	1
I am happpy when I get good results in the field of academics or athletics.  	2
I felt sad and depressed when I heard that our cat had died.	4
He turned and saw the waiter bearing down on him with an anxious look on his face . 	1
 That works for me ! 	0
Finding out that my health condition may be against my attending university lectures.	1
My best friend had a relatively severe illness.  I was sad because she was suffering.	4
 That ’ s a good way to think about it . 	2
Found out that someone I knew well has been misunderstanding me for 2 years.	0
 How can believe it if the same excuse was used twice within a week ? 	0
Hi Bill , I saw your grandma yesterday . 	3
Hearing about a friend back home that had to have his stomach pumped because he had overdosed on pills.	4
LEE SHARPE last night relived the anguish of discovering he had a disease which he feared could not only end his career -- but kill him . 	4
Talking to a pensioned and bitter \street order\" policeman."	4
 Wow ! 	3
:) @thomestifanos security is a very juicy business. 	3
 I see . 	3
When people would tell me that my ex-girlfriend was playing around on me.	0
I was so desolate about Chip . 	4
Peter says : ` The Poles were furious that we wanted to show prostitutes in their hotel bar , claiming they never had them . 	0
 That ’ s a pity . We can arrange another time hopefully . 	4
This Duke game is going to give me a panic attack and it hasn't even started.. @holldoll2 	1
I quarrelled with my brothers (twins) at home on saturday.  One of them studies in a private school and the other one is repeating his form five.  They do not know what they are doing.  They follow every word of their teachers, books and systems.  They always try to rationalize their bad acts by some game and they are satisfied with their awkward life.  I have tried to persuade them very often but have failed.  This time I had a fight as they have no voluntary spirit (they did not polish the floor).	0
 Yeah . It is incredible ! Is it the work of Qi Bakshi ? 	2
